city_name,hub_name,hub_id,sku_group,category,av_dt,flag,instances
NCR,NEX,132,Chicken Sausage with Thyme & Cheese,Cold Cuts,2022-12-07,48.0,48
Mumbai,CHM,81,Crab,Fish & Seafood,2023-04-05,0.0,48
Bangalore,Indiranagar,4,Awadhi Chicken Biryani,Ready to Cook,2022-12-26,48.0,48
Bangalore,JPN,6,Goat Ribs and Chops,Lamb & Goat,2023-06-27,46.0,47
Bangalore,KRP,108,Catla - Bengali Cut (Without Head),Fish & Seafood,2023-09-26,0.0,48
Pune,KOTH,102,Goat Ribs and Chops,Lamb & Goat,2023-07-15,0.0,48
Hyderabad,Himayatnagar,25,Kolkata Chicken Biryani - Mini,Ready to Cook,2023-12-04,0.0,48
NCR,SUN,20,Crispy Prawns,Ready to Cook,2022-09-11,22.0,48
Chennai,POR,137,Chunky Shawarma Chicken Spread (Single Serve),Spreads,2023-02-27,48.0,48
NCR,NGC,125,Mahi Mahi Cubes,Fish & Seafood,2023-01-03,0.0,48
Pune,KNDH,88,Lamb Mince,Lamb & Goat,2023-02-28,0.0,48
Mumbai,CHM,81,Chicken Thigh Boneless,Chicken,2023-02-05,48.0,48
Mumbai,BLP,504,Bombay Duck. Whole,Fish & Seafood,2023-03-05,48.0,48
Mumbai,ADW,62,Sardine Whole - Cleaned & Gutted,Fish & Seafood,2023-04-30,48.0,48
Mumbai,BLP,504,Sea Water Prawns Medium,Fish & Seafood,2023-11-06,48.0,48
Agra,LIN,545,Prawns - Cleaned and Deveined,Fish & Seafood,2023-09-20,34.0,48
Mumbai,MUL,80,Rohu - Bengali Cut (Without Head),Fish & Seafood,2023-01-24,48.0,48
Hyderabad,ECL,377,Tilapia - Fillet,Fish & Seafood,2023-09-25,0.0,48
Chennai,TNGR,95,Fish in Thai Sweet Chilli Sauce,Ready to Cook,2022-12-26,0.0,48
Kolkata,LKT,541,Goan Prawn Curry,Ready to Cook,2022-09-17,48.0,48
Mumbai,KHR,66,Hyderabadi Mutton Shami Kebab,Kebab & Tandoor,2022-12-04,34.0,48
Mumbai,MLD,79,Classic Lamb Burger Patty,Ready to Cook,2023-10-11,0.0,48
Pune,PIMCHI,103,Prawns Koliwada (Deep Fry),Ready to Cook,2022-11-05,48.0,48
Pune,BNR,57,Chunky Butter Chicken Spread,Spreads,2023-03-15,33.0,33
Bangalore,TUB,1,Chicken 65_RTC,Ready to Cook,2023-12-06,48.0,48
Mumbai,POW,64,Mutton Korma,Ready to Cook,2023-12-29,40.0,48
NCR,GRN,129,Chicken Leg Curry Cut,Chicken,2022-12-18,48.0,48
Hyderabad,Himayatnagar,25,Catla - Bengali Cut (Without Head),Fish & Seafood,2023-09-30,48.0,48
NCR,WDH,31,Smoked Chicken Wings,Ready to Cook,2022-11-18,0.0,40
Bangalore,KDB,130,Prawns - Cleaned and Deveined,Fish & Seafood,2023-08-21,39.0,48
Bangalore,Indiranagar,4,Chicken Cutlet (Bengali Style),Ready to Cook,2023-08-15,48.0,48
Chennai,TBM,112,Chicken Boneless Tikka Cut - Small Pack,Chicken,2022-12-05,48.0,48
Mumbai,MUL,80,Chicken & Cranberry Sausage,Cold Cuts,2023-06-09,0.0,48
Chennai,PONDI,204,Mahi Mahi Cubes,Fish & Seafood,2022-10-25,0.0,48
Chennai,VDP,74,Brown Eggs,Eggs,2022-10-13,48.0,48
Chennai,MGR,73,Tangdi Kebab,Kebab & Tandoor,2023-08-31,48.0,48
